[2026-03-11 19:29:19] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:53:15] sara                 | LOGIN_ATTEMPT                  | sara
[2026-03-11 19:53:15] sara                 | LOGIN_SUCCESS                  | Type: admin | Socket: 4
[2026-03-11 19:53:16] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:53:18] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:53:18] sara                 | VIEW_ALL_USERS_ATTEMPT         | 
[2026-03-11 19:53:35] sara                 | VIEW_ALL_USERS_ATTEMPT         | 
[2026-03-11 19:53:38] sara                 | VIEW_ALL_USERS_ATTEMPT         | 
[2026-03-11 19:53:39] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 19:53:40] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 20:28:32] sara                 | LOGIN_ATTEMPT                  | sara
[2026-03-11 20:28:32] sara                 | LOGIN_SUCCESS                  | Type: admin | Socket: 4
[2026-03-11 20:28:33] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 20:28:34] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 20:36:12] sara                 | LOGIN_ATTEMPT                  | sara
[2026-03-11 20:36:12] sara                 | LOGIN_SUCCESS                  | Type: admin | Socket: 4
[2026-03-11 20:36:13] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 20:36:14] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 20:36:15] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 20:36:16] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
[2026-03-11 20:36:17] sara                 | GET_UNREAD_COUNT_ATTEMPT       | 
